baseline,0,0,18.43
baseline,0,0,0.08
baseline,1,0,0.02
baseline,2,0,0.02
baseline,3,1,0.02
baseline,4,0,0.02
shared_map,0,1,0.02
shared_map,1,0,0.02
shared_map,2,0,0.02
shared_map,3,0,0.02
shared_map,4,0,0.02
coordination,0,0,0.02
coordination,1,0,0.02
coordination,2,0,0.02
coordination,3,0,0.02
coordination,4,0,0.02
baseline,0,0,36.54
baseline,0,0,36.73
baseline,0,0,35.19
baseline,0,3,37.13
baseline,0,0,0.1
baseline,1,1,0.04
baseline,2,2,0.04
baseline,3,0,0.04
baseline,4,1,0.04
shared_map,0,0,0.04
shared_map,1,0,0.04
shared_map,2,0,0.04
shared_map,3,0,0.04
shared_map,4,0,0.04
coordination,0,0,0.04
coordination,1,0,0.04
coordination,2,0,0.05
coordination,3,0,0.05
coordination,4,0,0.05
baseline,0,4,61.58
baseline,0,9,62.55
baseline,0,4,293.38
baseline,0,1,0.11
baseline,1,0,0.04
baseline,2,2,0.04
baseline,3,0,0.05
baseline,4,2,0.05
shared_map,0,0,0.05
shared_map,1,4,0.04
shared_map,2,0,0.04
shared_map,3,0,0.04
shared_map,4,1,0.04
coordination,0,2,0.04
coordination,1,0,0.05
coordination,2,0,0.05
coordination,3,0,0.04
coordination,4,0,0.05
baseline,0,3,239.62
baseline,0,3,117.86
baseline,0,0,0.11
baseline,1,0,0.04
baseline,2,0,0.04
baseline,3,1,0.05
baseline,4,1,0.05
shared_map,0,1,0.04
shared_map,1,3,0.04
shared_map,2,2,0.04
shared_map,3,0,0.05
shared_map,4,0,0.05
coordination,0,2,0.04
coordination,1,1,0.04
coordination,2,1,0.05
coordination,3,0,0.05
coordination,4,1,0.05
baseline,0,1,659.98
baseline,0,2,0.12
baseline,1,1,0.04
baseline,2,0,0.05
baseline,3,2,0.04
baseline,4,2,0.05
shared_map,0,0,0.04
shared_map,1,0,0.04
shared_map,2,2,0.04
shared_map,3,2,0.04
shared_map,4,1,0.04
coordination,0,0,0.05
coordination,1,2,0.04
coordination,2,0,0.05
coordination,3,1,0.05
coordination,4,1,0.06
baseline,0,7,357.82
baseline,0,1,0.12
baseline,1,0,0.04
baseline,2,2,0.04
baseline,3,3,0.04
baseline,4,0,0.04
shared_map,0,1,0.04
shared_map,1,2,0.04
shared_map,2,0,0.04
shared_map,3,0,0.04
shared_map,4,0,0.04
coordination,0,0,0.05
coordination,1,1,0.04
coordination,2,0,0.04
coordination,3,2,0.04
coordination,4,1,0.04
baseline,0,0,0.13
baseline,0,2,0.12
baseline,1,0,0.06
baseline,2,1,0.06
baseline,3,3,0.06
baseline,4,2,0.06
baseline,5,0,0.06
baseline,6,1,0.06
baseline,7,1,0.06
baseline,8,2,0.06
baseline,9,2,0.06
shared_map,0,0,0.12
shared_map,1,0,0.08
shared_map,2,0,0.06
shared_map,3,1,0.06
shared_map,4,2,0.06
shared_map,5,4,0.06
shared_map,6,1,0.07
shared_map,7,0,0.07
shared_map,8,2,0.06
shared_map,9,1,0.06
coordination,0,0,0.06
coordination,1,1,0.06
coordination,2,0,0.07
coordination,3,2,0.06
coordination,4,2,0.06
coordination,5,2,0.06
coordination,6,1,0.07
coordination,7,1,0.06
coordination,8,1,0.06
coordination,9,5,0.06
baseline,0,0,61.74
baseline,1,0,60.65
baseline,2,0,61.29
baseline,3,0,62.39
baseline,4,0,61.09
baseline,5,0,60.72
baseline,6,0,59.76
baseline,7,0,60.17
baseline,8,0,62.53
baseline,9,0,61.83
shared_map,0,0,60.47
shared_map,1,0,61.34
shared_map,2,0,62.55
shared_map,3,0,61.99
shared_map,4,0,62.42
baseline,0,0,60.11
baseline,1,0,61.94
baseline,2,0,60.44
baseline,3,0,61.43
baseline,4,0,62.61
baseline,5,0,59.88
baseline,6,0,59.62
baseline,7,0,59.75
baseline,8,0,60.87
baseline,9,0,62.25
shared_map,0,0,61.63
shared_map,1,0,60.8
shared_map,2,0,62.96
shared_map,3,0,63.02
shared_map,4,0,62.37
shared_map,5,0,62.87
shared_map,6,0,61.29
shared_map,7,0,61.12
shared_map,8,0,61.86
shared_map,9,0,59.18
coordination,0,0,60.01
coordination,1,0,61.21
coordination,2,0,62.38
coordination,3,0,60.76
coordination,4,0,61.63
coordination,5,0,62.12
coordination,6,0,62.46
coordination,7,0,62.42
coordination,8,0,60.66
coordination,9,0,60.86
baseline,0,0,0.04
baseline,1,0,0.04
baseline,2,0,0.04
baseline,3,0,0.04
baseline,4,0,0.04
baseline,5,0,0.05
baseline,6,0,0.05
baseline,7,0,0.05
baseline,8,0,0.05
baseline,9,0,0.05
shared_map,0,0,0.05
shared_map,1,0,0.05
shared_map,2,0,0.05
shared_map,3,0,0.05
shared_map,4,0,0.06
shared_map,5,0,0.08
shared_map,6,0,0.07
shared_map,7,0,0.05
shared_map,8,0,0.05
shared_map,9,0,0.05
coordination,0,0,0.06
coordination,1,0,0.05
coordination,2,0,0.05
coordination,3,0,0.04
coordination,4,0,0.05
coordination,5,0,0.05
coordination,6,0,0.05
coordination,7,0,0.05
coordination,8,0,0.05
coordination,9,0,0.06
baseline,0,0,0.04
baseline,1,0,0.04
baseline,2,0,0.04
baseline,3,0,0.05
baseline,4,0,0.05
baseline,5,0,0.05
baseline,6,0,0.05
baseline,7,0,0.05
baseline,8,0,0.05
baseline,9,0,0.05
shared_map,0,0,0.05
shared_map,1,0,0.05
shared_map,2,0,0.06
shared_map,3,0,0.06
shared_map,4,0,0.04
shared_map,5,0,0.04
shared_map,6,0,0.05
shared_map,7,0,0.05
shared_map,8,0,0.05
shared_map,9,0,0.05
coordination,0,0,0.05
coordination,1,0,0.05
coordination,2,0,0.05
coordination,3,0,0.05
coordination,4,0,0.05
coordination,5,0,0.05
coordination,6,0,0.06
coordination,7,0,0.06
coordination,8,0,0.06
coordination,9,0,0.06
baseline,0,0,0.08
baseline,1,0,0.08
baseline,2,0,0.09
baseline,3,0,0.07
baseline,4,0,0.07
baseline,5,0,0.07
baseline,6,0,0.08
baseline,7,0,0.07
baseline,8,0,0.06
baseline,9,0,0.06
shared_map,0,0,0.07
shared_map,1,0,0.07
shared_map,2,0,0.07
shared_map,3,0,0.07
shared_map,4,0,0.07
shared_map,5,0,0.06
shared_map,6,0,0.07
shared_map,7,0,0.06
shared_map,8,0,0.08
shared_map,9,0,0.07
coordination,0,0,0.07
coordination,1,0,0.07
coordination,2,0,0.08
coordination,3,0,0.08
coordination,4,0,0.08
coordination,5,0,0.07
coordination,6,0,0.07
coordination,7,0,0.06
coordination,8,0,0.08
coordination,9,0,0.06
baseline,0,0,0.05
baseline,1,0,0.04
baseline,2,0,0.04
baseline,3,0,0.05
baseline,4,0,0.04
baseline,5,0,0.05
baseline,6,0,0.05
baseline,7,0,0.04
baseline,8,0,0.04
baseline,9,0,0.05
shared_map,0,0,0.05
shared_map,1,0,0.05
shared_map,2,0,0.04
shared_map,3,0,0.05
shared_map,4,0,0.04
shared_map,5,0,0.04
shared_map,6,0,0.06
shared_map,7,0,0.05
shared_map,8,0,0.05
shared_map,9,0,0.05
coordination,0,0,0.05
coordination,1,0,0.05
coordination,2,0,0.05
coordination,3,0,0.06
coordination,4,0,0.05
coordination,5,0,0.05
coordination,6,0,0.05
coordination,7,0,0.05
coordination,8,0,0.05
coordination,9,0,0.04
baseline,0,0,0.05
baseline,1,0,0.05
baseline,2,0,0.05
baseline,3,0,0.05
baseline,4,0,0.05
baseline,5,0,0.05
baseline,6,0,0.05
baseline,7,0,0.05
baseline,8,0,0.05
baseline,9,0,0.05
shared_map,0,0,0.05
shared_map,1,0,0.05
shared_map,2,0,0.05
shared_map,3,0,0.05
shared_map,4,0,0.05
shared_map,5,0,0.05
shared_map,6,0,0.05
shared_map,7,0,0.06
shared_map,8,0,0.06
shared_map,9,0,0.06
coordination,0,0,0.05
coordination,1,0,0.05
coordination,2,0,0.05
coordination,3,0,0.05
coordination,4,0,0.05
coordination,5,0,0.05
coordination,6,0,0.04
coordination,7,0,0.05
coordination,8,0,0.06
coordination,9,0,0.05
baseline,0,0,0.05
baseline,1,0,0.05
baseline,2,0,0.05
baseline,3,0,0.06
baseline,4,0,0.05
baseline,5,0,0.05
baseline,6,0,0.05
baseline,7,0,0.05
baseline,8,0,0.05
baseline,9,0,0.05
shared_map,0,0,0.05
shared_map,1,0,0.04
shared_map,2,0,0.04
shared_map,3,0,0.05
shared_map,4,0,0.05
shared_map,5,0,0.05
shared_map,6,0,0.05
shared_map,7,0,0.05
shared_map,8,0,0.05
shared_map,9,0,0.05
coordination,0,0,0.05
coordination,1,0,0.05
coordination,2,0,0.05
coordination,3,0,0.05
coordination,4,0,0.05
coordination,5,0,0.05
coordination,6,0,0.05
coordination,7,0,0.05
coordination,8,0,0.05
coordination,9,0,0.05
baseline,0,0,60.84
baseline,1,0,64.54
baseline,2,0,62.79
baseline,3,0,60.0
baseline,4,0,59.33
baseline,5,0,57.24
baseline,6,0,62.28
baseline,7,0,62.29
baseline,8,0,62.87
baseline,9,0,61.95
shared_map,0,0,60.22
shared_map,1,0,62.18
shared_map,2,0,61.66
shared_map,3,0,60.51
baseline,0,3,63.57
baseline,1,7,62.4
baseline,2,4,62.35
baseline,3,2,59.95
baseline,4,4,64.58
baseline,0,6,60.93
baseline,1,3,59.76
baseline,2,2,60.82
baseline,3,1,62.19
baseline,4,2,61.26
baseline,5,4,59.11
baseline,6,2,62.21
baseline,0,3,35.27
baseline,0,3,35.32
baseline,0,4,36.98
baseline,1,3,35.13
baseline,2,2,33.84
baseline,3,4,34.55
baseline,4,2,34.74
baseline,5,10,34.34
baseline,6,1,34.67
baseline,7,4,35.01
baseline,8,0,35.38
baseline,9,2,35.38
shared_map,0,6,35.47
shared_map,1,5,35.43
shared_map,2,4,36.32
shared_map,3,0,35.83
shared_map,4,1,33.69
shared_map,5,4,35.49
shared_map,6,6,35.93
baseline,0,5,0.11
baseline,1,4,0.11
baseline,2,3,0.11
baseline,3,7,0.11
baseline,4,4,0.12
baseline,5,6,0.1
baseline,6,6,0.11
baseline,7,6,0.11
baseline,8,1,0.12
baseline,9,3,0.11
shared_map,0,2,0.11
shared_map,1,4,0.11
shared_map,2,0,0.12
shared_map,3,2,0.12
shared_map,4,4,0.11
shared_map,5,4,0.11
shared_map,6,6,0.12
shared_map,7,1,0.12
shared_map,8,3,0.12
shared_map,9,8,0.11
coordination,0,3,0.12
coordination,1,2,0.13
coordination,2,5,0.12
coordination,3,2,0.12
coordination,4,3,0.12
coordination,5,6,0.12
coordination,6,3,0.13
coordination,7,2,0.13
coordination,8,0,0.12
coordination,9,8,0.13
